continente,pais,year,mes,casos,muertes,mortalidad,num_mes,consecutivo_mes
South America,Argentina,2020,ene,0,0,0,1,1
Oceania,Australia,2020,ene,9,0,0,1,1
Asia,Cambodia,2020,ene,1,0,0,1,1
North America,Canada,2020,ene,4,0,0,1,1
Asia,China,2020,ene,9236,196,2,1,1
Europe,Estonia,2020,ene,0,0,0,1,1
Oceania,Fiji,2020,ene,0,0,0,1,1
Europe,Finland,2020,ene,1,0,0,1,1
Europe,France,2020,ene,5,0,0,1,1
Europe,Germany,2020,ene,5,0,0,1,1
Europe,Guernsey,2021,ene,0,0,0,1,1
Asia,Hong Kong,2020,ene,12,0,0,1,1
Asia,India,2020,ene,1,0,0,1,1
Europe,Italy,2020,ene,2,0,0,1,1
Asia,Japan,2020,ene,13,0,0,1,1
Europe,Latvia,2020,ene,0,0,0,1,1
Asia,Macao,2020,ene,6,0,0,1,1
Asia,Malaysia,2020,ene,8,0,0,1,1
North America,Mexico,2020,ene,0,0,0,1,1
Oceania,Micronesia (country),2021,ene,1,0,0,1,1
Asia,Nepal,2020,ene,1,0,0,1,1
Asia,Northern Cyprus,2021,ene,0,0,0,1,1
Asia,Philippines,2020,ene,1,0,0,1,1
Europe,Russia,2020,ene,2,0,0,1,1
Asia,Singapore,2020,ene,13,0,0,1,1
Asia,South Korea,2020,ene,10,0,0,1,1
Asia,Sri Lanka,2020,ene,1,0,0,1,1
Asia,Taiwan,2020,ene,9,0,0,1,1
Asia,Thailand,2020,ene,15,0,0,1,1
Asia,United Arab Emirates,2020,ene,4,0,0,1,1
Europe,United Kingdom,2020,ene,2,1,50,1,1
North America,United States,2020,ene,7,0,0,1,1
Asia,Vietnam,2020,ene,2,0,0,1,1
Africa,Algeria,2020,feb,1,0,0,2,2
Africa,Egypt,2020,feb,1,0,0,2,2
Africa,Morocco,2020,feb,0,0,0,2,2
Africa,Nigeria,2020,feb,1,0,0,2,2
Africa,Senegal,2020,feb,0,0,0,2,2
Africa,South Africa,2020,feb,0,0,0,2,2
Asia,Afghanistan,2020,feb,5,0,0,2,2
Asia,Armenia,2020,feb,0,0,0,2,2
Asia,Bahrain,2020,feb,41,0,0,2,2
Asia,Cambodia,2020,feb,0,0,0,2,2
Asia,China,2020,feb,69468,2622,4,2,2
Asia,Georgia,2020,feb,1,0,0,2,2
Asia,Hong Kong,2020,feb,83,2,2,2,2
Asia,India,2020,feb,2,0,0,2,2
Asia,Iran,2020,feb,593,43,7,2,2
Asia,Iraq,2020,feb,13,0,0,2,2
Asia,Israel,2020,feb,6,0,0,2,2
Asia,Japan,2020,feb,230,6,3,2,2
Asia,Kuwait,2020,feb,45,0,0,2,2
Asia,Lebanon,2020,feb,4,0,0,2,2
Asia,Macao,2020,feb,3,0,0,2,2
Asia,Malaysia,2020,feb,21,0,0,2,2
Asia,Nepal,2020,feb,0,0,0,2,2
Asia,Northern Cyprus,2021,feb,0,0,0,2,2
Asia,Oman,2020,feb,6,0,0,2,2
Asia,Pakistan,2020,feb,4,0,0,2,2
Asia,Philippines,2020,feb,2,1,50,2,2
Asia,Qatar,2020,feb,1,0,0,2,2
Asia,Singapore,2020,feb,89,0,0,2,2
Asia,South Korea,2020,feb,3139,16,1,2,2
Asia,Sri Lanka,2020,feb,0,0,0,2,2
Asia,Taiwan,2020,feb,29,1,3,2,2
Asia,Thailand,2020,feb,23,0,0,2,2
Asia,Turkmenistan,2021,feb,0,0,0,2,2
Asia,United Arab Emirates,2020,feb,17,0,0,2,2
Asia,Vietnam,2020,feb,14,0,0,2,2
Europe,Albania,2020,feb,0,0,0,2,2
Europe,Austria,2020,feb,4,0,0,2,2
Europe,Belarus,2020,feb,1,0,0,2,2
Europe,Belgium,2020,feb,1,0,0,2,2
Europe,Croatia,2020,feb,6,0,0,2,2
Europe,Denmark,2020,feb,3,0,0,2,2
Europe,Estonia,2020,feb,1,0,0,2,2
Europe,Finland,2020,feb,7,0,0,2,2
Europe,France,2020,feb,95,2,2,2,2
Europe,Germany,2020,feb,61,0,0,2,2
Europe,Greece,2020,feb,4,0,0,2,2
Europe,Guernsey,2021,feb,0,0,0,2,2
Europe,Iceland,2020,feb,1,0,0,2,2
Europe,Ireland,2020,feb,1,0,0,2,2
Europe,Italy,2020,feb,1126,29,3,2,2
Europe,Latvia,2020,feb,0,0,0,2,2
Europe,Luxembourg,2020,feb,1,0,0,2,2
Europe,Monaco,2020,feb,1,0,0,2,2
Europe,Netherlands,2020,feb,10,0,0,2,2
Europe,North Macedonia,2020,feb,1,0,0,2,2
Europe,Norway,2020,feb,15,0,0,2,2
Europe,Romania,2020,feb,3,0,0,2,2
Europe,Russia,2020,feb,0,0,0,2,2
Europe,San Marino,2020,feb,1,1,100,2,2
Europe,Serbia,2020,feb,0,0,0,2,2
Europe,Slovenia,2020,feb,0,0,0,2,2
Europe,Spain,2020,feb,45,0,0,2,2
Europe,Sweden,2020,feb,14,0,0,2,2
Europe,Switzerland,2020,feb,18,0,0,2,2
Europe,United Kingdom,2020,feb,59,2,3,2,2
North America,Canada,2020,feb,29,0,0,2,2
North America,Guatemala,2020,feb,0,0,0,2,2
North America,Mexico,2020,feb,4,0,0,2,2
North America,United States,2020,feb,17,1,6,2,2
Oceania,Australia,2020,feb,16,0,0,2,2
Oceania,Fiji,2020,feb,0,0,0,2,2
Oceania,Micronesia (country),2021,feb,0,0,0,2,2
Oceania,New Zealand,2020,feb,1,0,0,2,2
South America,Argentina,2020,feb,0,0,0,2,2
South America,Brazil,2020,feb,2,0,0,2,2
South America,Chile,2020,feb,2,0,0,2,2
Africa,Algeria,2020,mar,715,44,6,3,3
Africa,Angola,2020,mar,7,2,29,3,3
Africa,Benin,2020,mar,9,0,0,3,3
Africa,Botswana,2020,mar,4,1,25,3,3
Africa,Burkina Faso,2020,mar,261,14,5,3,3
Africa,Burundi,2020,mar,2,0,0,3,3
Africa,Cameroon,2020,mar,193,6,3,3,3
Africa,Cape Verde,2020,mar,6,1,17,3,3
Africa,Central African Republic,2020,mar,3,0,0,3,3
Africa,Chad,2020,mar,7,0,0,3,3
Africa,Congo,2020,mar,19,0,0,3,3
Africa,Cote d'Ivoire,2020,mar,179,1,1,3,3
Africa,Democratic Republic of Congo,2020,mar,98,8,8,3,3
Africa,Djibouti,2020,mar,30,0,0,3,3
Africa,Egypt,2020,mar,709,46,6,3,3
Africa,Equatorial Guinea,2020,mar,12,0,0,3,3
Africa,Eritrea,2020,mar,15,0,0,3,3
Africa,Eswatini,2020,mar,9,0,0,3,3
Africa,Ethiopia,2020,mar,26,0,0,3,3
Africa,Gabon,2020,mar,16,1,6,3,3
Africa,Gambia,2020,mar,4,1,25,3,3
Africa,Ghana,2020,mar,161,5,3,3,3
Africa,Guinea,2020,mar,22,0,0,3,3
Africa,Guinea-Bissau,2020,mar,8,0,0,3,3
Africa,Kenya,2020,mar,59,1,2,3,3
Africa,Liberia,2020,mar,6,0,0,3,3
Africa,Libya,2020,mar,10,0,0,3,3
Africa,Madagascar,2020,mar,57,0,0,3,3
Africa,Malawi,2020,mar,0,0,0,3,3
Africa,Mali,2020,mar,28,2,7,3,3
Africa,Mauritania,2020,mar,6,1,17,3,3
Africa,Mauritius,2020,mar,125,3,2,3,3
Africa,Morocco,2020,mar,617,36,6,3,3
Africa,Mozambique,2020,mar,8,0,0,3,3
Africa,Namibia,2020,mar,11,0,0,3,3
Africa,Niger,2020,mar,27,3,11,3,3
Africa,Nigeria,2020,mar,134,2,1,3,3
Africa,Rwanda,2020,mar,75,0,0,3,3
Africa,Senegal,2020,mar,175,0,0,3,3
Africa,Seychelles,2020,mar,11,0,0,3,3
Africa,Sierra Leone,2020,mar,1,0,0,3,3
Africa,Somalia,2020,mar,5,0,0,3,3
Africa,South Africa,2020,mar,1353,5,0,3,3
Africa,Sudan,2020,mar,7,2,29,3,3
Africa,Tanzania,2020,mar,19,1,5,3,3
Africa,Togo,2020,mar,34,1,3,3,3
Africa,Tunisia,2020,mar,394,10,3,3,3
Africa,Uganda,2020,mar,44,0,0,3,3
Africa,Zambia,2020,mar,35,0,0,3,3
Africa,Zimbabwe,2020,mar,8,1,13,3,3
Asia,Afghanistan,2020,mar,163,4,2,3,3
Asia,Armenia,2020,mar,532,3,1,3,3
Asia,Azerbaijan,2020,mar,298,5,2,3,3
Asia,Bahrain,2020,mar,526,4,1,3,3
Asia,Bangladesh,2020,mar,51,5,10,3,3
Asia,Bhutan,2020,mar,4,0,0,3,3
Asia,Brunei,2020,mar,129,1,1,3,3
Asia,Cambodia,2020,mar,108,0,0,3,3
Asia,China,2020,mar,3814,484,13,3,3
Asia,Georgia,2020,mar,109,0,0,3,3
Asia,Hong Kong,2020,mar,585,2,0,3,3
Asia,India,2020,mar,1394,36,3,3,3
Asia,Indonesia,2020,mar,1528,136,9,3,3
Asia,Iran,2020,mar,44012,2855,6,3,3
Asia,Iraq,2020,mar,681,50,7,3,3
Asia,Israel,2020,mar,5739,21,0,3,3
Asia,Japan,2020,mar,2010,61,3,3,3
Asia,Jordan,2020,mar,274,5,2,3,3
Asia,Kazakhstan,2020,mar,343,2,1,3,3
Asia,Kuwait,2020,mar,244,0,0,3,3
Asia,Kyrgyzstan,2020,mar,107,0,0,3,3
Asia,Laos,2020,mar,9,0,0,3,3
Asia,Lebanon,2020,mar,466,12,3,3,3
Asia,Macao,2020,mar,31,0,0,3,3
Asia,Malaysia,2020,mar,2737,48,2,3,3
Asia,Maldives,2020,mar,18,0,0,3,3
Asia,Mongolia,2020,mar,12,0,0,3,3
Asia,Myanmar,2020,mar,15,1,7,3,3
Asia,Nepal,2020,mar,4,0,0,3,3
Asia,Northern Cyprus,2021,mar,0,0,0,3,3
Asia,Oman,2020,mar,186,1,1,3,3
Asia,Pakistan,2020,mar,2114,27,1,3,3
Asia,Palestine,2020,mar,119,1,1,3,3
Asia,Philippines,2020,mar,2081,89,4,3,3
Asia,Qatar,2020,mar,780,2,0,3,3
Asia,Saudi Arabia,2020,mar,1563,10,1,3,3
Asia,Singapore,2020,mar,824,3,0,3,3
Asia,South Korea,2020,mar,6636,146,2,3,3
Asia,Sri Lanka,2020,mar,142,2,1,3,3
Asia,Syria,2020,mar,10,2,20,3,3
Asia,Taiwan,2020,mar,283,4,1,3,3
Asia,Thailand,2020,mar,1609,10,1,3,3
Asia,Timor,2020,mar,1,0,0,3,3
Asia,Turkey,2020,mar,13531,214,2,3,3
Asia,Turkmenistan,2021,mar,0,0,0,3,3
Asia,United Arab Emirates,2020,mar,643,6,1,3,3
Asia,Uzbekistan,2020,mar,172,2,1,3,3
Asia,Vietnam,2020,mar,196,0,0,3,3
Europe,Albania,2020,mar,243,15,6,3,3
Europe,Andorra,2020,mar,376,12,3,3,3
Europe,Austria,2020,mar,9261,134,1,3,3
Europe,Belarus,2020,mar,151,1,1,3,3
Europe,Belgium,2020,mar,12774,705,6,3,3
Europe,Bosnia and Herzegovina,2020,mar,420,13,3,3,3
Europe,Bulgaria,2020,mar,399,8,2,3,3
